" A spy? Very foolish of you. It will be difficult to report to him when you are dead, won't it? "," ¿Una espía? Es muy tonto por tu parte. Será difícil contárselo a él cuando estés muerta, ¿o no? "
"You're as bad as the rest of them. *wheezing cough*","Eres tan mala como los demás. *respira pesadamente*"
"You're asking to be slagged, kid","Te estás buscando que te conviertan en escoria, chica"
"You're barely hurt. I suggest a good nights sleep and some rest; you will heal naturally over time.","Apenas estás herida. Te sugiero que descanses un poco y duermas toda la noche. Sanarás con el tiempo."
"You're certain of this? Perhaps we should go talk to the High Elder.","¿Estás segura? Quizás deberíamos hablar con el Anciano Mayor."
"You're damn straight this is my place! Now get the hell out before I make your head a wall decoration!","¡Desde luego que es mío, desgraciada! ¡Sal a toda leche de aquí si no quieres que tu cabeza decore mi pared!"
"You're dead","Estás muerta"
"You're dead!","¡Estás muerta!"
"You're dead! I hope you have cool stuff...","¡Estás muerta! Espero que hayas disfrutado..."
"You're dead. Do you hear me, dead!","Estás muerta. ¿Me oyes? ¡Muerta!"
"You're dogfood, friend.","Eres comida para perros, amiga"
"You're done, punk!","¡Estás acabada, mocosa!"
"You're dreaming, pal. Beat it!","Estás soñando, tía. ¡Vete!"
"You're dumber than a mole rat","Eres más tonta que las ratas topo"
"You're either real stupid... or a real stupid spy. Doesn't matter, because now Izo's gonna make you real dead.","O eres realmente idiota... o eres una espía realmente idiota. De todas formas no importa, porque Izo se va a encargar de que estés realmente muerta."
"You're either very brave or VERY stupid to show your face here, but don't worry; we'll stop in sometime and say 'hello'.","O eres muy valiente o MUY estúpida apareciendo por aquí, pero no te preocupes, nos detendremos algún día para decirte ""hola""."
"You're full of crap! You've been holding out on me! I'm gonna to beat that money out of you!","¡Eres una mierda! ¡Te has reído de mí! ¡Te voy a sacar esas chapas a mamporros!"
"You're in trouble now...","Ahora estás metida en un lío..."
"You're irradiated and poisoned, but unsure of the extent.","Estás irradiada y envenenada, pero no sabes en qué medida."
"You're irradiated, but unsure of the extent.","Estás irradiada, pero no sabes en qué medida."
"You're just a bully and a sneak","Eres una tirana y un chivata"
"You're just a common thug","Solo eres una delincuente común"
"You're just a cut rate punk","Eres un artículo en rebajas, mocosa"
"You're mean! I hate you! I hope you get eaten by the Holy Flame!","¡Eres mezquina! ¡Te odio! ¡Espero que la Llama Sagrada te devore!"
"You're mistaken, child. I'm a good man.","Estás equivocado. Soy buena."
"You're no Khan, you deserve no honor.","No eres una Khan; no mereces ningún honor."
"You're no fighter","No eres una luchadora"
"You're not as good as you think","No eres tan buena como te piensas"
"You're not just a punk, you're an incompetent punk!","No eres solo una mocosa, ¡eres una mocosa incompetente!"
"You're not too bright, are ya. Boys... ","No eres demasiado lista, ¿verdad? Chicos..."
"You're not very bright, are you? You're wearing a holodisk reader on your arm.","¿No eres muy lista, verdad? Llevas un reproductor de holodiscos en el brazo."
"You're not very good at this","No eres muy buena en esto"
"You're not welcome here","No eres bienvenida aquí"
"You're not welcome here! Get out before things get ugly.","¡No eres bienvenida aquí! Lárgate antes de que las cosas se pongan feas."
"You're not welcome here.","No eres bienvenida aquí."
"You're nothing but a common thug!","¡No eres sino una delincuente común!"
"You're on Skulz turf, stranger. You'd better leave.","Estás en territorio de los Kalaveras, forastera. Será mejor que te largues."
"You're on Skulz turf, stranger. You'd better talk quick.","Estás en territorio de los Kalaveras, forastera. Será mejor que hables rápido."
"You're poisoned, but unsure of the extent.","Estás envenenada, pero no sabes en qué medida."
"You're slow","Eres una lenta"
"You're so cute when you look at me like that.","Estás tan guapa cuando me miras así."
"You're stupid! I hope the Holy Flame kills you before you can say anymore stupid things. Mother Jain, watch out for the stupid man!","¡Eres terrible! Espero que la Llama Sagrada te mate antes de que digas más estupideces. Madre Jain, ¡vigila a esa imbécil!"
"You're that rowdy one. No more fighting, okay?","Tú eres esa alborotador. No más peleas, ¿vale?"
"You're too late... Damn! I knew he was responsible, I only wish I knew in time to stop him. In any case, you're the final witness I needed to act. We'll have to 'take him out'. This is going to be rough, and I can use any help I can get. I can pay you 1300 caps. 300 now, and the rest when we're all done. What do you say?","Llegas demasiado tarde... ¡Demonios! Sabía que era culpable. Solo me hubiera gustado saberlo a tiempo para poder pararlo. De todos modos, eres la testigo final que necesitaba para actuar. Tendremos que ""sacarlo de ahí"". Va a resultar difícil y tendré que utilizar toda la ayuda que pueda conseguir. Puedo pagarte 1.300 chapas. 300 ahora y el resto cuando el trabajo esté acabado. ¿Qué opinas?"
"You're welcome here any time, of course!","¡Por supuesto, eres bienvenida siempre que quieras!"
"You've built quite a reputation for yourself. I don't think you need any help, you seem quite capable. However, there is something I need looking into, and I might be able to help you if you can help me.","Te has ganado toda una reputación. Creo que no necesitas ayuda, te las puedes arreglar sola. Pero, tengo un asunto pendiente, y podría ayudarte, si tú me ayudas a mí."
"You've built quite a reputation for yourself. The people I've checked with hold you in high regard. I don't think you need any help, you seem quite capable. However, if you help me with a little problem, I might be able to reward you with something.","Te has ganado toda una reputación. He comprobado que mucha gente te tiene en alta estima. Creo que no necesitas ayuda, te las puedes arreglar tú sola. Pero, si me ayudas a resolver un problema, puede que te recompense."
"You've disappointed me, I thought you where tougher than that.","Me has decepcionado; pensé que eras más dura."
"You've done it! That's... wonderful. Amazing! I'm so proud of what you've accomplished, what you've endured. There's no way the people of the Vault can ever thank you enough for what you've done. You've saved all our lives. Who knows, maybe even saved the human race. [The Overseer sighs.] That makes the rest of this even harder. Everyone will want to talk to you. Every youngster will look up to you. And want to emulate you. And then what? They'll want to leave. What happens to the Vault if we lose the best of a generation? What if we are the only safe place in the world? You just gave us back all these lives... I can't take the chance of losing them. I've made a lot of tough decisions since I took this position. But none of them harder than this one. You saved us, but you'll kill us. I'm sorry. You're a hero... and you have to leave.","¡Lo has conseguido! Es... maravilloso. ¡Increíble! Estoy tan orgulloso de lo que has logrado, de lo que has resistido. No hay forma de que la gente del Refugio te pueda agradecer bastante todo lo que has hecho por ellos. Has salvado todas nuestras vidas. Quién sabe, puede que hayas salvado a toda la raza humana. [El Supervisor suspira.] Eso hace, que lo que te voy a decir, sea aún más duro. Todo el mundo querrá hablar contigo. Cada jovencito te adorará y querrá ser aún mejor que tú. ¿Y entonces qué? Querrán marcharse. ¿Qué será del Refugio si perdemos lo mejor de una generación? ¿Qué pasará, si no hay otro sitio más seguro en el mundo? Acabas de devolvernos todas estas vidas... y no puedo arriesgarme a perderlas. He tomado muchas decisiones difíciles desde que ocupé este cargo. Pero ninguna tan dura como ésta. Nos has salvado, pero acabarías matándonos. Perdóname. Eres una heroína... y tienes que marcharte."
"You've gone insane!","¡Te has vuelto loca!"
"You've got to keep your mind and body in top condition at all times, Initiate.","Tengo que mantener mi cuerpo y mi mente en las mejores condiciones, Iniciada."
"You've never taken a life? You aren't packing enough firepower to give the Brotherhood of Steel gun envy? Stop being such a hypocrite! You feel it's justified to defend yourself. The Master's defending humanity from another attack of self-destruction. It's all the same!","¿Nunca te has cargado a nadie? ¿No estás reuniendo bastante potencia de fuego como para darle envidia a la Hermandad del Acero? ¡Deja de ser una hipócrita! Solo piensas en defenderte a ti misma. El Maestro defiende a la humanidad de otro ataque de autodestrucción. ¡Es lo mismo!"
"You've pried enough information from me for one day. Goodbye, madam.","Ya me ha sacado suficiente información por hoy. Adiós, señora."
"You've pried enough information from me for one day. Goodbye, sir.","Ya me ha sacado suficiente información por hoy. Adiós, señora."
"You've sealed the fate of everyone in this Vault, traitor. I hope you are satisfied with yourself.","Has sellado el destino de los que viven en este Refugio, traidora. Espero que estés satisfecha de ti misma."
"Your attack stinks worse than your breath, maggot!","¡Tu ataque apesta más que tu aliento, gusana!"
"Your death will be painful, human!","¡Tu muerte será dolorosa, humana!"
"Your kind is repugnant. Do not speak to me.","Me resultas asquerosa. No me hables."
"Your left arm has been severely hurt, and cannot function well.  If one arm has been crippled, you cannot use two-handed weapons.  If both arms have been crippled, you cannot attack with weapons at all.","Has sido gravemente herida en el brazo izquierdo y no te funciona bien. Si tienes un brazo herido, no puedes usar armas de dos manos. Si tienes ambos brazos heridos no podrás atacar con armas."
"Your mind is completely gone. Poor creature.","Estás loca. Pobre criatura."
"Your right arm has been severely hurt, and cannot function well.  If one arm has been crippled, you cannot use two-handed weapons.  If both arms have been crippled, you cannot attack with weapons at all.","Has sido gravemente herida en el brazo derecho y no te funciona bien. Si tienes un brazo herido, no puedes usar armas de dos manos. Si tienes ambos brazos heridos no podrás atacar con armas."
